Symbol,CompanyName,LastSale,MarketCap,IPOyear,Sector,Industry,SummaryQuoteURL,CompanyLogoURL,CompanyURL
TFSC,1347 Capital Corp.,9.89,$58.83M,2014,Finance,Business Services,http://www.nasdaq.com/symbol/tfsc,https://logo.clearbit.com/1347capital.com,http://www.1347capital.com
TFSCR,1347 Capital Corp.,0.34,n/a,2014,Finance,Business Services,http://www.nasdaq.com/symbol/tfscr,https://logo.clearbit.com/1347capital.com,http://www.1347capital.com
TFSCU,1347 Capital Corp.,10.25,$42.85M,2014,Finance,Business Services,http://www.nasdaq.com/symbol/tfscu,https://logo.clearbit.com/1347capital.com,http://www.1347capital.com
TFSCW,1347 Capital Corp.,0.2,n/a,2014,Finance,Business Services,http://www.nasdaq.com/symbol/tfscw,https://logo.clearbit.com/1347capital.com,http://www.1347capital.com
PIH,1347 Property Insurance Holdings Inc.,6.04,$36.96M,2014,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/pih,https://logo.clearbit.com/1347pih.com,http://www.1347pih.com
FLWS,1-800 FLOWERS.COM Inc.,7.45,$482.05M,1999,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/flws,https://logo.clearbit.com/1800flowers.com,http://www.1800flowers.com
FCTY,1st Century Bancshares Inc,10.97,$113.4M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fcty,https://logo.clearbit.com/1stcenturybank.com,http://www.1stcenturybank.com
FCCY,1st Constitution Bancorp (NJ),12.85,$102.21M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/fccy,https://logo.clearbit.com/1stconstitution.com,http://www.1stconstitution.com
SRCE,1st Source Corporation,31.71,$820.66M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/srce,https://logo.clearbit.com/1stsource.com,http://www.1stsource.com
VNET,21Vianet Group Inc.,19.28,$1.68B,2011,Technology,Computer Software: Programming Data Processing,http://www.nasdaq.com/symbol/vnet,https://logo.clearbit.com/21vianet.com,http://www.21vianet.com
TWOU,2U Inc.,21.43,$984.99M,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/twou,https://logo.clearbit.com/2u.com,http://2u.com
JOBS,51job Inc.,30.32,$1.78B,2004,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/jobs,https://logo.clearbit.com/51job.com,http://www.51job.com
CAFD,8point3 Energy Partners LP,14.44,$1.03B,2015,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/cafd,https://logo.clearbit.com/8point3energypartners.com,http://www.8point3energypartners.com
EGHT,8x8 Inc,9.35,$827.07M,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/eght,https://logo.clearbit.com/8x8.com,http://www.8x8.com
AVHI,A V Homes Inc.,10.73,$243.02M,n/a,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/avhi,https://logo.clearbit.com/avhomesinc.com,http://www.avhomesinc.com
SHLM,A. Schulman Inc.,25.58,$749.44M,1972,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/shlm,https://logo.clearbit.com/aschulman.com,http://www.aschulman.com
AAON,AAON Inc.,26.77,$1.42B,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aaon,https://logo.clearbit.com/aaon.com,http://www.aaon.com
